Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 17,000,000",3bdrm Apartment in Kileleshwa for sale,Spscious with high and latest finishes.Amenitie inclusive.You can stay or rent out.,"Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,196sqm
"KSh 28,000,000",2bdrm Apartment in Kileleshwa for Sale,"2&3 br for sale and rent.
2 BR Selling Ksh 28M & 3 BR Ksh 36M at Kileleshwa. 
Also for rent: 2br...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,500sqm
"KSh 37,000,000",4bdrm Apartment in Kileleshwa for sale,"Luxurious spacious 4 bedroom + dsq apartments (with separate lobby & lounge )
four bed plus dsq 
-...","Nairobi, Kileleshwa",3 bedrooms,2 bathrooms,Unfurnished,150sqm
"KSh 6,000,000",1bdrm Apartment in Lavington for sale,"This 1 bedroom apartment is located in Lavington and very close to health, educational and...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 13,800,000",3bdrm Apartment in Kileleshwa for sale,"Luxurious 3-bedroom apartment in kileleshwa for sale.(from ksh 13.8m)
discover the epitome of...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,82sqm
"KSh 9,300,000",2bdrm Apartment in Hurlingham for sale,Ignite your passion for refined living in this meticulously crafted apartment– welcome to the...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,120sqm
"KSh 7,600,000",1bdrm Apartment in Raphta Road Area for sale,"Exquisite one-bedroom apartment , a perfect blend of luxury, functionality, and convenience located...","Nairobi, Westlands",3 bedrooms,3 bathrooms,Unfurnished,225sqm
"KSh 7,500,000",1bdrm Apartment in Kileleshwa for sale,"High end guaranteed high ROI apartments in the heart of Kileleshwa, Othaya road. They enjoy close...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Furnished,2023sqm
"KSh 20,500,000","3bdrm Apartment in Hatheru Road, Lavington for sale","An executive newly build spacious 3bedroom plus Dsq all en-suite apartment for sale in Lavington.
*...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Furnished,1024sqm
"KSh 24,000,000",Furnished 4bdrm Villa in Kikambala for sale,3br own compound villa with a detached 1 br guest wing for sale in Kikambala near Sun & sand hotel....,"Kilifi, Kilifi South",4 bedrooms,4 bathrooms,Unfurnished,200sqm
"KSh 50,000,000",5bdrm Apartment in Shelly Beach for sale,A large well built 1950s double srorey house in Likoni overlooking the Kilindini shipping tunnel. It...,"Mombasa, Likoni",1 bedroom,1 bathroom,Unfurnished,58sqm
"KSh 12,500,000",3bdrm Apartment in Kilimani for sale,A state of the art 3 bedroom apartment located in the serene kilimani area.It is in close proximity...,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,164sqm
"KSh 9,500,000","3bdrm Condo in Four Points, Ngando for Sale","Located near ILRI, off Naivasha road with convenient access from either Waiyaki way or Ngong road is...","Nairobi, Dagoretti",3 bedrooms,3 bathrooms,Unfurnished,140sqm
"KSh 25,000,000",4bdrm Apartment in Lavington for sale,"4.5 BR- 25M( 257m2)
This stunning 4-bedroom apartment with a DSQ is available for sale in the lash...","Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,400sqm
"KSh 20,000,000",3bdrm Apartment in Lavington for Sale,"FOR SALE 3BR Master En Suit.
32 units in the compound,
 Quiet and serene compound,
 Swimming pool,
...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 11,000,000",3bdrm Apartment in Lavington for sale,"Lavington.
 3 bedroom apartments for sale in Lavington.
This project comprises of 3-bedrooms...","Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,140sqm
"KSh 11,500,000",2bdrm Apartment in Kileleshwa for sale,An amazing apartment complex in Kileleshwa.It is 10 minutes drive to Yaya centre and afew minutes...,"Nairobi, Kileleshwa",4 bedrooms,5 bathrooms,Unfurnished,246sqm
"KSh 23,000,000","4bdrm Apartment in Lavington, Valley Arcade for sale",This newly built 4bedroom with dsq apartment designed with latest technology finishes and offering...,"Nairobi, Lavington",5 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 12,000,000","2bdrm Apartment in Lavington, Maziwa for sale",This newly built modern 2 bedroom apartment designed with high quality finishes and located in a...,"Nairobi, Lavington",3 bedrooms,4 bathrooms,Furnished,242sqm
"KSh 43,000,000",3bdrm Duplex in Riverside for Sale,"3&4 Bedroom luxury beautifully designed and unique development on Riverside Drive. 
These stunning 3...","Nairobi, Lavington",4 bedrooms,5 bathrooms,Semi-Furnished,2500sqm
"KSh 23,000,000","4bdrm Apartment in Hatheru, Lavington for Sale","AMENITIES
– Intercom and solar water heater
– 24-hour CCTV surveillance and children play area
–...","Nairobi, Lavington",3 bedrooms,4 bathrooms,Unfurnished,156sqm
"KSh 10,500,000",2bdrm Apartment in Kilimani for Sale,"Meticulously designed two bedroom for best living style. 
some of it's wonderful features...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,nan
"KSh 32,000,000",3bdrm Apartment in Kileleshwa for Sale,"3 Bedroom Plus Dsq Apartments 
231 square meters 
Ready By December 2023
AMENITIES
- Modern well...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,98sqm
"KSh 9,500,000","3bdrm Apartment in Precious Gardens, Dagoretti for sale","*Route One*
Take Waiyaki Way. Turn left on the road taking you to Kabete National Technical. At the...","Nairobi, Dagoretti",1 bedroom,1 bathroom,Unfurnished,79sqm
"KSh 5,500,000",1bdrm Apartment in Hurlingham for sale,Introducing the perfect cozy oasis: our one bedroom apartment is a slice of urban paradise! Nestled...,"Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,50sqm
"KSh 60,500,000",4bdrm Duplex in Kiambu CBD for sale,"Amenities
• Clubhouse and gym
• Games room (pool table, table tennis, etc)
• Heated swimming pool
•...","Kiambu, Kiambu / Kiambu",3 bedrooms,3 bathrooms,Unfurnished,154sqm
"KSh 20,500,000",4bdrm Apartment in Kileleshwa for sale,"Features and Amenities
● Sufficient solar hot water system and water tank storage system
● Solar...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,130sqm
"KSh 26,000,000",Furnished 3bdrm Apartment in Parklands/Highridge for sale,"A3 bed room appartment for sale in Nairobi area of parklands . agency fee 3000/=.
Viewing to be...","Nairobi, Parklands/Highridge",1 bedroom,1 bathroom,Unfurnished,110sqm
"KSh 30,000,000",4bdrm Maisonette in Nkoroi for sale,"This is a 4-bedroom maisonette located in a well developed area.
Fine interior finishing
Laminated...","Kajiado, Ongata Rongai",3 bedrooms,3 bathrooms,Semi-Furnished,200sqm
"KSh 15,000,000",3bdrm Apartment in Valley Arcade for sale,This 3bedroom master ensuite is located in Hatheru road Lavington off Gitanga Road. The development...,"Nairobi, Lavington",3 bedrooms,3 bathrooms,Unfurnished,400sqm
"KSh 22,500,000","4bdrm Bungalow in Greenpark, Athi River for sale",4 bedroom Conner house plus Sq for sale,"Machakos, Athi River",5 bedrooms,5 bathrooms,Unfurnished,320sqm
"KSh 7,000,000","2bdrm Apartment in Precious Garden, Riruta for Sale","*Property Details*
Luxurious 2BR apartment located in the lush Riruta area. Easily accessible off...","Nairobi, Dagoretti",3 bedrooms,3 bathrooms,Unfurnished,202sqm
"KSh 51,000,000",4bdrm Duplex in Westlands for sale,"4 Bed duplex with a DSQ & family TV room spanning 3,600 sq.ft 
Offering a wide range of world-class...","Nairobi, Westlands",2 bedrooms,2 bathrooms,Unfurnished,86sqm
"KSh 6,000,000",1bdrm Apartment in Lavington for Sale,"Modern Designed & Affordable Apartments in Lavington 1,2&3 bedroom.
These apartments are a unique...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,49sqm
"KSh 15,500,000","3bdrm Apartment in Thompson Glade, Lavington for sale","You will love this lavish 3 bedroom en-suite penthouse apartment in the heart of the leafy, secure...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,93sqm
"KSh 21,500,000",Furnished 1bdrm Apartment in Upperhill for sale,The state of art icon.The tallest residential apartment in the region.High yields for investors.,"Nairobi, Upperhill",1 bedroom,1 bathroom,Unfurnished,45sqm
"KSh 22,000,000",3bdrm Apartment in Kilimani for sale,3 Bedroom with a DSQ apartment for sale in Kilimani off Riara Road. The development is located...,"Nairobi, Kilimani",4 bedrooms,5 bathrooms,Unfurnished,265sqm
"KSh 25,500,000",4bdrm Apartment in Valley Arcade for sale,"4bedroom all en-suite with dsq for sale in M. With swimming pool, club house, garden, library,...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,125sqm
"KSh 9,000,000",2bdrm Apartment in Kilimani for sale,Fully serviced fitted with modern state of art technology All amenities and services available.,"Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,258sqm
"KSh 5,200,000",1bdrm Apartment in Kilimani for Sale,"Key Notes
* One bedroom modern apartment 
* Open plan kitchen
* Elegant finishes
* Inbuilt drawers...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 13,500,000",2bdrm Apartment in Hurlingham for Sale,Apartment in Kilimani near Yaya Centre 2 bedroom for Kshs 13.5M/=,"Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,500sqm
"KSh 7,000,000",1bdrm Apartment in Lavington for Sale,"Exclusive 1 & 2 bedroom Apartments off plan on Riara Road. Construction on going.
> 1bed 65 sqm
>...","Nairobi, Lavington",5 bedrooms,5 bathrooms,Unfurnished,440sqm
"KSh 12,500,000",2bdrm Apartment in Kilimani for Sale,The project stands out in its location as the most stylish and equally affordable. High end...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,190sqm
"KSh 16,500,000",2bdrm Apartment in Westlands for Sale,"Apartment features
* 2 bedrooms apartment 
* open plan kitchen
* kitchen fitted with appliances...","Nairobi, Westlands",1 bedroom,1 bathroom,Unfurnished,56sqm
"KSh 11,000,000",2bdrm Apartment in Hurlingham for sale,Indulge in the allure of luxury living with our sizzling 2-bedroom apartment. This chic and...,"Nairobi, Kilimani",4 bedrooms,5 bathrooms,Unfurnished,180sqm
"KSh 12,300,000",3bdrm Apartment in Hurlingham for sale,Welcome to the epitome of sophisticated urban living – a stunning 3-bedroom apartment that...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 13,700,000",3bdrm Apartment in Hurlingham for sale,Welcome to your dream residence – a stunning 3-bedroom apartment that redefines modern living....,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,113sqm
"KSh 6,800,000",Furnished 1bdrm Apartment in Hurlingham for sale,Apartment of 1 bedroom in Kilimani off Kindaruma road. This 1 bedroom is spacious and with it you...,"Nairobi, Kilimani",5 bedrooms,5 bathrooms,Unfurnished,300sqm
"KSh 13,400,000",2bdrm Apartment in Raphta Road Area for sale,"Features and amenities:
full back-up generator
children play house
reception hall and conference...","Nairobi, Westlands",2 bedrooms,2 bathrooms,Unfurnished,90sqm
"KSh 5,500,000",Furnished 3bdrm House in Utawala Near for sale,3bedrooms available for sale utawala airways near lakewood school on 30*60 with ready title deed,"Nairobi, Utawala",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 14,000,000","3bdrm Apartment in Popo Road, South C for sale","3Bedroom masterensuite located in south c ,Popo road,has sufficient cabinetry,modern bathroom and a...","Nairobi, South C",3 bedrooms,3 bathrooms,Unfurnished,2800sqm
"KSh 20,000,000",5bdrm Apartment in Lavington for Sale,"For sale.
executive 4 bedroom + dsq apartment for sale in lavington.
feature s the following;
the...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 80,000,000",Furnished 10bdrm Apartment in Ngara for sale,"Building Sale Ngara, potential for redevelopment, as is income month
Plot Size 50 by...","Nairobi, Ngara",3 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 9,700,000",2bdrm Apartment in Kilimani for sale,"2 BEDROOM AT KSH 9.7M
Special offer on this new development in kilimani consisting 2 and 3 bedroom...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,55sqm
"KSh 7,050,000",1bdrm Apartment in Raphta Road Area for Sale,"It comprises of 1 and 2 Bedrooms :
Standard 1 bedroom Apartment of 49 sqm 
Premium 1 bedroom...","Nairobi, Westlands",5 bedrooms,5 bathrooms,Unfurnished,346sqm
"KSh 14,000,000",3bdrm Apartment in Kileleshwa for sale,This charming 3 bedroom master ensuite apartment on the 1st floor in a very secure and quiet...,"Nairobi, Kileleshwa",1 bedroom,2 bathrooms,Furnished,80sqm
"KSh 8,800,000",2bdrm Apartment in Lavington for sale,"Two bedroom apartments coming up in Lavington 
SHOWHOUSES READY 
Located off Gitanga road 
Details...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,110sqm
"KSh 40,000,000","4bdrm Apartment in Ol Donyo Sabuk Lane, Westlands for Sale",Well maintained family apartment in a quiet area off general mathenge drive Westlands 4br 3200 sq ft...,"Nairobi, Westlands",3 bedrooms,3 bathrooms,Unfurnished,157sqm
"KSh 25,000,000",3bdrm Apartment in Kilimani for Sale,"3BR all ensuitte with a DSQ, 204 sqm, 2200sqf
 depending on floor and location 
Other bigger houses...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Furnished,118sqm
"KSh 37,000,000",4bdrm Duplex in Valley Arcade for Sale,The modern development located in the heart of Lavington off Gitanga Road. Privileged by its...,"Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 27,000,000","3bdrm Apartment in Kilimani Estate, Hurlingham for Sale","This is Luxurious 3 bedroom plus DSQ apartment located in the heart of Kilimani, ten minutes drive...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,135sqm
"KSh 16,000,000",3bdrm Apartment in Kilimani for sale,"Spacious New 3 Bedrooms in Kilimani. 
Amenities: 
Rooftop swimming pool 
Gym 
Ample parking 
Backup...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,56sqm
"KSh 6,500,000",1bdrm Apartment in Mountain View for Sale,"This is a Prime development along Waiyaki way, very near to Westlands
Near major offices, schools...","Nairobi, Mountain View",4 bedrooms,4 bathrooms,Unfurnished,600sqm
"KSh 12,000,000",3bdrm Apartment in Hurlingham for sale,A 3bedrooms apartment +Dsq with Two ensuits. The building has lifts available with ample Parking...,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,120sqm
"KSh 6,500,000",2bdrm Block of Flats in Mombasa Road for Sale,"Mombasa rd syokimau, 2 & 3 bedroom
amenities:
children play area
ample parking
swimming pool
power...","Nairobi, Mombasa Road",2 bedrooms,2 bathrooms,Furnished,250sqm
"KSh 6,500,000",1bdrm Apartment in Kileleshwa for sale,"Lavish 1,2 and 3 bedroom apartments for sale in kileleshwa from kes. 6.5m - 1br, 2bedroom - 11m,...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,230sqm
"KSh 8,700,000",2bdrm Apartment in Hurlingham for sale,Discover the perfect blend of comfort and style in our inviting 2-bedroom apartment. A harmonious...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,208sqm
"KSh 12,500,000",2bdrm Apartment in Riverside Drive for sale,"Located at the heart of Riverside Drive. 
The property provides plenty of living space to enjoy with...","Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,110sqm
"KSh 23,000,000",3bdrm Apartment in Hurlingham for sale,"Features and Amenities
– Large central lobby
– Gymnasium
– Adult and kids swimming pool
– Barbeque...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,51sqm
"KSh 24,000,000",Furnished 2bdrm House in Malindi for sale,A 2 bedroom house at Casuarina in Malindi on the main road to Marine park. Its in a shared compound...,"Kilifi, Malindi",3 bedrooms,4 bathrooms,Unfurnished,218sqm
"KSh 14,000,000",Furnished 4bdrm House in Malindi for sale,"4 bedroom house in a condominium on the beach of Mambrui, 15 minutes drive from Malindi center","Kilifi, Malindi",5 bedrooms,4 bathrooms,Unfurnished,300sqm
"KSh 17,000,000",4bdrm Townhouse/Terrace in Kitengela for sale,"These contemporary 78 gated home community is an elite estate located in Kitengela area. 
It...","Kajiado, Kitengela",1 bedroom,1 bathroom,Unfurnished,65sqm
"KSh 5,500,000",1bdrm Apartment in Lavington for sale,"Very ideal for stay and air bnb.
Close proximity with current state of technology.All services and...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,107sqm
"KSh 16,800,000",3bdrm Apartment in Kilimani for Sale,"Located in the Heart of Kilimani off Ring road, a walkable distance to Yaya Centre
164 square meters...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,48sqm
"KSh 12,500,000",3bdrm Apartment in Kileleshwa for Sale,"HOT SALE
This LUXURIOUS apartment is located in the heart of Kileleshwa, Othaya road just 10...","Nairobi, Kileleshwa",2 bedrooms,1 bathroom,Unfurnished,66sqm
"KSh 68,000,000",4bdrm Townhouse/Terrace in Lavington for sale,"New 4 Bedroom ALL ensuite Townhouse + DSQ 
LOCATION: Lavington area 
FEATURES 
They are 4000 sq ft...","Nairobi, Lavington",5 bedrooms,4 bathrooms,Unfurnished,530sqm
"KSh 6,500,000","1bdrm Apartment in Diamond Ivy, Kileleshwa for sale","Borehole
Cctv
Borehole
Electric fence
Gym and swimming
Ample parking
Children play area","Nairobi, Kileleshwa",3 bedrooms,4 bathrooms,Unfurnished,207sqm
"KSh 13,500,000",3bdrm Apartment in Kileleshwa for Sale,"New 3 bedroom apartment for sale in Kileleshwa 
Ready for occupation 
140 square metres 
Master...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 25,000,000",4bdrm Apartment in Lavington for Sale,"Apartment Features
* Nicely Semi open plan Kitchen fitted with appliances such as hood, microwave...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,110sqm
"KSh 140,000,000",5bdrm Townhouse/Terrace in Lavington for sale,"ON SALE.
Lavinghton -5 bedroom town house for sale in Lavington. 
It has two staff quarters
All...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,90sqm
"KSh 30,000,000",Furnished 3bdrm Apartment in Kileleshwa for sale,"Overview 
•	Fully Furnished apartments
•	All ensuite bedrooms with designer bathroom
•	Jogging track...","Nairobi, Kileleshwa",4 bedrooms,5 bathrooms,Unfurnished,275sqm
"KSh 25,000,000",4bdrm Apartment in Westlands for Sale,For quck sale is 4 bedroom apartment with 4 ensuite bedrooms in westlands off rhapta road along east...,"Nairobi, Westlands",3 bedrooms,3 bathrooms,Unfurnished,130sqm
"KSh 30,000,000",3bdrm Duplex in Lavington for sale,This amazing duplex apartment is available for sale in Lavington.Contact is for a viewing.,"Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,800sqm
